factor_data_view,factor_model,factor_prompt_template,factor_temperature,mean_input_token_count,mean_output_token_count,mean_schema_completeness,mean_total_duration_seconds,mean_total_token_count,mean_wall_clock_seconds,n_runs
stim_summary,deepseek_v3_1,prompts/stim_paradigm_anova.md,1.0,1179.0,972.666667,1.0,,2151.666667,22.133779,3
stim_and_mouse_summary,qwen3_5_9b,prompts/stim_paradigm_predictive.md,0.0,6274.666667,1174.333333,1.0,,7449.0,28.634093,3
summary_only,deepseek_v3_1,prompts/stim_paradigm_anova.md,1.0,961.0,533.666667,1.0,,1494.666667,10.893796,3
stim_summary,deepseek_v3_1,prompts/stim_paradigm_predictive.md,0.75,1247.0,541.0,1.0,,1788.0,12.572848,3
stim_and_mouse_summary,qwen3_5_9b,prompts/stim_paradigm_anova.md,0.75,6217.0,1259.666667,1.0,,7476.666667,24.780071,3
stim_and_mouse_summary,qwen3_5_9b,prompts/stim_paradigm_anova.md,1.0,6216.0,1195.666667,1.0,,7411.666667,28.594144,3
summary_only,qwen3_5_9b,prompts/stim_paradigm_basic.md,1.0,1073.0,918.666667,1.0,,1991.666667,21.169121,3
stim_and_mouse_summary,deepseek_v3_1,prompts/stim_paradigm_anova.md,0.0,4083.0,571.0,1.0,,4654.0,14.280461,3
summary_only,kimi,prompts/stim_paradigm_anova.md,0.5,947.0,1213.666667,1.0,,2160.666667,23.462896,3
stim_and_mouse_summary,deepseek_v3_1,prompts/stim_paradigm_basic.md,0.75,4034.0,1042.0,1.0,,5076.0,24.454608,3
stim_and_mouse_summary,qwen3_5_9b,prompts/stim_paradigm_predictive.md,0.5,6275.0,1395.0,1.0,,7670.0,58.994146,3
stim_and_mouse_summary,kimi,prompts/stim_paradigm_basic.md,0.5,3973.0,1262.666667,1.0,,5235.666667,37.770153,3
summary_only,kimi,prompts/stim_paradigm_predictive.md,1.0,1003.0,1457.0,1.0,,2460.0,73.810236,3
stim_summary,kimi,prompts/stim_paradigm_basic.md,0.25,1109.0,1117.666667,1.0,,2226.666667,26.284745,3
stim_summary,qwen3_5_9b,prompts/stim_paradigm_anova.md,1.0,1453.0,1165.0,1.0,,2618.0,20.614627,3
