"term","df","sum_sq","mean_sq","f_value","p_value","eta_sq","partial_eta_sq"
"model                             ",2,39.7652449810716,19.8826224905358,58.4667536599707,8.00206845753125e-22,0.212223007405653,
"temperature                       ",4,1.84479299928178,0.461198249820444,1.35619757773386,0.249493072345249,0.00984546979491343,
"prompt                            ",2,4.8025511785273,2.40127558926365,7.06118060703547,0.00102536172921731,0.0256307198613205,
"data_view                         ",2,0.340149409634121,0.17007470481706,0.50012094104108,0.60701799128118,0.00181534228480604,
"model:temperature                 ",8,2.67632006891806,0.334540008614757,0.98374690171751,0.448936580087504,0.0142832439250973,
"model:prompt                      ",4,2.93120804316343,0.732802010790858,2.15487442196493,0.0744019893909586,0.015643554730969,
"temperature:prompt                ",8,6.06312365289211,0.757890456611513,2.22864939718291,0.0257008689095908,0.0323582650251898,
"model:data_view                   ",4,1.00429660021304,0.251074150053261,0.73830755920342,0.566557330140397,0.00535982727947326,
"temperature:data_view             ",8,4.25569639159581,0.531962048949476,1.56428529924496,0.135527493509282,0.0227122123165532,
"prompt:data_view                  ",4,1.92294118277931,0.480735295694828,1.41364813029175,0.229647846617297,0.0102625385828218,
"model:temperature:prompt          ",16,4.11231320957289,0.257019575598306,0.755790651834249,0.734733728611373,0.0219469910758748,
"model:temperature:data_view       ",16,13.2869484703818,0.830434279398862,2.44197144856117,0.00182890242488114,0.0709110723439677,
"model:prompt:data_view            ",8,1.6645541748908,0.20806927186135,0.611847600482163,0.767722743901342,0.00888355379561002,
"temperature:prompt:data_view      ",16,6.57141183721071,0.410713239825669,1.20774157580099,0.26136090941301,0.0350709465931318,
"model:temperature:prompt:data_view",32,4.31512301774082,0.1348475943044,0.396532252301622,0.998767101126216,0.0230293660855409,
"Residuals                         ",270,91.8181314403998,0.340067153482962,,,0.490023888899077,
