"term","df","sum_sq","mean_sq","f_value","p_value","eta_sq","partial_eta_sq"
"model                             ",2,102154617.303704,51077308.651852,522.615832263605,1.4750393021998e-93,0.0700156183333389,
"temperature                       ",4,333403.120987648,83350.7802469121,0.852833450671277,0.492860148532861,0.000228510725078785,
"prompt                            ",2,6637826.77037037,3318913.38518518,33.9586545726599,6.99357121741613e-14,0.00454949132974942,
"data_view                         ",2,1233742789.34815,616871394.674074,6311.74127682847,2.15837138008623e-227,0.845593342136448,
"model:temperature                 ",8,621110.745679016,77638.843209877,0.794389714945214,0.607986178720297,0.000425702274258539,
"model:prompt                      ",4,1591376.23703702,397844.059259255,4.07068441209593,0.0032003453760695,0.00109071125885456,
"temperature:prompt                ",8,1359071.64938272,169883.956172839,1.7382287259625,0.0896686180874256,0.000931492324110457,
"model:data_view                   ",4,78295211.3481479,19573802.837037,200.276395335698,1.6414262028444e-79,0.0536626515743529,
"temperature:data_view             ",8,1682192.92345676,210274.115432096,2.15149515001029,0.0314972720236175,0.00115295598770279,
"prompt:data_view                  ",4,136560.903703709,34140.2259259274,0.349317985948719,0.844400277607182,9.35972975607054e-05,
"model:temperature:prompt          ",16,1717596.30617283,107349.769135802,1.09838772678127,0.35628838932402,0.00117722106545828,
"model:temperature:data_view       ",16,1988639.56543208,124289.972839505,1.27171750650146,0.214864294954387,0.00136299104720762,
"model:prompt:data_view            ",8,308774.800000041,38596.8500000052,0.394917536141068,0.92284820178534,0.000211630752660772,
"temperature:prompt:data_view      ",16,786178.972839506,49136.1858024691,0.502754536509539,0.944887214957975,0.000538838168620219,
"model:temperature:prompt:data_view",32,1282623.24938267,40081.9765432083,0.410113141878308,0.998290526665193,0.000879095456128614,
"Residuals                         ",270,26388165.9999998,97733.9481481473,,,0.0180861502684694,
